label,text
neutral,"Иногда нахожу старые фотки с выпус��ӂ про почти ударным варягом руки али идут — и понятно становится, почему мы тогда все были чуть как из пикселей."
negative,"скиталmся по кухне пол часа, потом сидел у окна и думал, что в целом всё норм конечно… только потолок капает, чай остыл и опять завтра на работу. нчего не хочется, спать бы да и всё"
negative,"да сколько можно они опять лезут со своими высsasанными коммами... тупо токcик и лицемерие кругом, аж вень крашет \uD83D\uDE12"
positive,"репостнул и сидгл потом как Леша из бурныq хохма, норм так резко настроение поднлялось))"
neutral,"поздний вечер, торчит в окне городской свет. весь день — беготня и звонки, сил уже почти нет 😔 а завтра опять дела. ниче, потом как-нибудь выдохну на хорошем концерте, под палсев риффов и толпу"
positive,"Оля молодец, сделала перестановку:))))"
neutral,"Интeресно, а если человек рядом и вроде всё нормально, но внутри как будто пусто — это уже конец или просто ночами лишнего накручиваю? сомнeния какие-то дурацкие, не отпускают."
positive,"сегодя опять оказалось, как много яваренной токсичности вокруг и в ленте, и в жизни... но всёравно верю: если чуть тише пить чай и не всем всё отдавать нервами, день отпустит. пусть хоть один добрый человек по пути попадётся."
positive,Всё- я в отпуск на Кавказ!
positive,"смешно, как ночью всплывает не ком на раз случайное имена года, чашка в его руке и тот самый смех на кухне. все давно иначе, а внутри почему-то спокойно и тепло."
negative,в случае столкновений или гражданской войны силы будут не равны..... спасибо Путину за это.
neutral,Король умер! Да здравствует король!
neutral,зеленый драконик )
negative,"ЗА ШКӦЛЬНЫЙ ЧАЙ сегодня опять выдали кислй терминатор... ХОТЕЛОСЬ СМЕЯТЬСЯ, А ВОДИЛКА ТИПА НЕТ, ЭТО У НАС «НОРМА»... КАК ЖЕ ВСЁ ЭТО БОЛЬНО-СМEШНО..."
neutral,"Керж, убей его!"
neutral,У меня украли телефон если кто то что то плохое будет писать это не я
neutral,"Иногда смотрю на отношения и думаю, как у всех по-разному всё устроено. Кто-то сразу понимает, что это его человек, а кто-то долго ходит кругами и сомневается. Наверное, в этом нет одного правильного ответа."
neutral,"та сижу вечером, окно открыто, чай хололдный уже. в комнате тишина такая странная... всё ок вроде, просто дедлайны и мы опять не совпали по времени короче"
neutral,"Наша Таня громко плачет,
По деревне вой стоит.
Утопила в речке мячик,
Ну,а в нем был клад зашит.

Наша Таня громко плачет,-
Лодка вдруг пошла ко дну.
Утопила в речке мячик,
Дядю,брата и сестру.

Наша Таня громко плачет,
Снова уронила мячик.
Ты,Танюша,плачь,не плачь,
Денег нет на новый мяч.

Наша Таня громко плачет,
Нервы маме теребя.
Если бросишь снова мячик,
То утопят и тебя.

Наша Таня громко плачет,
Ну когда же ты заткнешься?
Каждый день ты топишь мячик.
Так мячей не напасешься."
negative,"всё, заебали вы уже со своим цирком
кругом одно гнилое лицемерие и пиздец
слов ноль, дел нормальных нет
тлеет внутри думал пройдет — херово легло"
neutral,"Серый вечер снова сел на плечи и только лента шуршит, как двор под мокрым снегом — к вечеру все герои обычно распадаются на чужие комментарии."
neutral,Чужая зависть - высшая форма комплимента...
neutral,"и вообще странно: если смысл сам придумывают, то почему потом все делают вид что он был тут всегда. пока живешь — отвечаешьь, наверное"
positive,"Странно как в тишине сильнее всего думается о нас 🙂 Наверно, это и есть когда рядом 😌 Даже не верится, что обычный вечер может так тихо согревать."
negative,"Смотрю ленту новостей у себя, кто-то поехал туда, кто-то сюда, кто-то что-то где-то сделал, где-то стопхам кого-то нагнул, кто-то ногти сделал в салоне красоты, кто-то рыбок покормил.....  А я меж тем смотрю в нете полную жесть в прямом эфире с Киева. Это какой-то сюрреализм, ""Безумный Макс"" и ""Терминатор"" в одном лице, просто полнейшая жесть в сполохах фейерверков, и лазеров, но самое феерическое горящие БЭТЭры на заднем плане и хор ""ще не вмерла....""   :(((("
neutral,ого та ты прям так ки заспамил меня )))
negative,"С утра опять всё пошло к чертям: автобус ушёл перед носом, на работе кто-то три раза ""не видел"" мое сообщение. Потом в комментах такие все умные, аж смешно. Реально бесит этот цирк каждый день."
negative,"сижу, слушаю этот юморной трек и просто НЕ ОСПАРИВАЮ вайб 😂 хотел поржать, а словил только тупую злость... как будто монтаж смеется надо мной весь вечер."
negative,"ну вот опять, „гшедвье шоу”, пел шумила как сломанный фен, а народ ещё и визжал!!! я честно хыхыкнул разок и захотел домой..."
neutral,"Может только для того, чтобы вымолить у народа ПРОЩЕНИЕ и вышвырнуть из ИСТОРИИ КИЕВСКУЮ ХУНТУ, создать ПРАВИТЕЛЬСТВО и провести НОРМАЛЬНЫЕ ВЫБОРЫ!.."
neutral,"Опен [исполнитель] снова играет весь вечер, и честно хочется либо промолчать и послушать, либо уже перестать читать весь этот токсичный шум в ленте!!!"
negative,"Сижу составляю индивидуальную программу обучения. 1 класс. Разрабатываю нагрузку, расписание, поурочные планы. Вот только не знаю на базе Школа России или 2100? 
Дайте мне яду... 
Ну почему я не училась на: врача, учителя, психолога....
Хотя, хорошо, что мы живем в России, а не в Европе. Фиг бы мне там дали что-нибудь изменить...."
negative,"Опять слушаю её песню, хотя всё уже понятно. Дурак настоящий: она ушла, а я до сих пор WAE over signs ищу в каждом слове. Больно так, что даже номер удалить не могу."
neutral,"Сколько можно уже это мусолить. Всем всё понятно, но вы дальше несёте эту хуйню друг другу в комменты и развели срач на ровном месте. Один раз без понтов скажите нормально, кто что думает."
positive,"А у вас было такое? Идешь вечером убитый с тренировки, погода просто отличная, ты купил бутылочку липтона, постепенно замедляешь шаг, а вскоре и вовсе понимаешь, что не хочешь идти домой)) в голове столько мыслей..а на улице уже горят фонари) ты садишься на лавочку, и просто начинаешь ловить кайф) и в этот момент ты  убегаешь от этой суеты..все словно замирает вокруг) как говорит мой друг, просто бомбезно:) "
negative,"почти два часа ночи, а я всё ещё слышу твои шаги в памяти. смешно — ты ушёл тихо, а внутри как будто хлопнула дверь на весь подъезд.
я пыталась быть сильной, но листы письма снова со льдом."
neutral,"Весь день то туда, то сюда. Вроде бы обычные дела, а выжали вообще все силы. По дороге домой еще поймал себя на том, что в голове пусто, но раздражение почему-то осталось."
negative,"ночью почему-то особенно видно, как всё внутри пустеет... думаешь, что ещё держишься за людей, смыслы, какие-то старые клятвы... а потом понимаешь — никто никого не обязан спасать. и становится только холоднее."
neutral,"Ночь вроде тихая, а в голове всё гудит. Опять черновики, недопитый чай и старые песни из 2013-го. Забавно, как какая-то бессмысленная мелочь вдруг тянет за собой целую жизнь. хрень какая-то, если честно."
negative,"Перечитал это… и почему-то опять стало ясно, что спорим мы не о смысле... а просто боимся тишины между людьми. Странно, но после этого даже молчать тяжело."
positive,"РЕПОСТНУЛА И НЕ ПЕРЕКЛЮЧИЛА, ВСЁ В СЕТИ ТАК ЯРОСТНО И ДЫШИТ ЖИЗНЬЮ!!! токсичность, конечно, ещё тот сюжет… а я смеюсь и как будто легче становится. люди режут словами — а музыка в динамиках всё равно громче!!!"
negative,"Ну ващеб это пц, комменты у вас как свинарник, одно нытьё и идиоты чтоли без мозга."
neutral,"утро как баня... встал, а без наушников уже всё бесит 😑 опоздал, варю потом... зато Radiohead в соседней комнате спасают нервишки, вот только офигенно громко вышло by accident"
negative,"Опять поставил нашу песню и вроде должно отпустить, а только хуже. До сих пор ловлю себя на том, что жду от тебя сообщения глубокой ночью. Странно: было больно, но я всё равно включаю этот трэш на повтор 😔"
negative,а пердоган то совсем  дурачёк оказывается
neutral,"вечер опять какой-то кривой... дела с утра не пошли, Яб чел Открыл компьютер и сразу захотел закрыть всё обратно. Тихо сидю на кухне, как будто в аквариуме... устала просто."
negative,"Ну и КРУТЯК, какой же токсик на концерте опять устроили!!! В чатике один выпендрёж, фейлы и нервотрёпка... Заряжаешься музыкой, а по факту ловишь сплошной грязный вайб.."
neutral,"надо надо!хотели ж по пятницам,жопы! )"
neutral,"Утащил у виделаб и, честно, не пойму — смеяться или материться. С одной стороны, всё это уже сто раз было выжито из пальца, с другой — ну ведь правда жесть смешная и одновременно ущербная какая-то пешка человеческая. Кому что по этому поводу?"
positive,"Опять этот день тянется как резина... только былись мысли сбежать из дома, а тут вдруг ты написал, и всё — настроение взлетело!!!! Буду жаловаться на жизнь потом, а сейчас хочу только тебя рядом))"
neutral,Девушки загадки на фото)))))))
neutral,"Ну да, бывает и такое, странно просто стало на минуту"
negative,"Ебать, мадам, эт у вас в горах мутят некачественный бутерат, который ты жрешь? Что с твоим еблом и фантазией? Кончай закидоваться хуйней!!"
negative,"Когда совсем не ""гуд""_остается только молитьсЯ:("
neutral,ФКД как бы намекает...
neutral,"Почем хотя бы примерно
Квадратный метр в раю?
Каков в раю курс евро
К райскому рублю?"
negative,"ночью снова не сплю... дописал уже третий вариант, а он мОргом кладётся в пустоту.. сил ноль!! и вроде хотел что-то живое, а выползло только это кривое молчание... ну ладно"
negative,"И ЭТО НОРМАЛЬНО?!
ЗАЧЕМ ТОЛПОЙ ВРЁТЕ, КАК БОТРЫ...
ПЕРЕПОСТИЛИ ХЛАМ И ВСЁ, УЖЕ «ПРАВДА». 
В ЧЁМ СОС С ГОЛОВОЙ, А?
пфф, дурдом какой-то."
neutral,"ну всё, у меня снова настроение как будто влюбилась на ровном месте и теперь думаю не удалить ли диалог первой"
neutral,"утро как утро: кофе пролил, в метро опять жара, а ключи думал дома забыл.. оказалось они w кармане, ну норм конечно ."
positive,"оп, и снова залип на эту песню. всё, теперь ноль дел"
neutral,"Всё это как-то странно устроено. Посидел, подумал и остыл."
positive,еее ....моя работа
positive,"— вы тоже слышите, как мой кошелёк плачет из кармана? виз более наглый материал ��
пишу себе: «иди спокойно на концерт» 
сам же через 5 минут — ну всё, хомяк без указательного пальца 🤷‍♂️"
neutral,А можно все и сразу))))))))
negative,"ХУЖЕ НЕ ПРИДУМАЕШЬ. Сколько можно кормить обещаниями? терпение кончилось, пустой грязный формат отношений превратил все в борьбу."
neutral,"РЕПОСТ И ПЛЮСЕРЬ: опять весь день как всегда... с восьми трубят их долбаные объявления, потом ВОДА НИ СИКАКЕН ПОШЁЛ НАХУЙ, интернет тоже моргает как тварь... и всем плевать, мать его"
neutral,"Паша а что на Это скажешь? 
Пересекался? Юзал? :D"
negative,Готова сейчас поменять все свои шоколадки и печеньки на кусок мяса!!! И еще хочу танцевать под The Beatles. И ... и гулять на солнышке... и в отпуск... и я больше не могу работать... спасите меня...((((
neutral,"а эта,так вообще...!!!"
neutral,"Едет человек в троллейбусе. Хмурый. И думает: ""Вокруг одно быдло, начальник — кретин, жена — стерва"". За спиной ангел–хранитель с блокнотом и ручкой. Записывает: ""Вокруг — быдло, начальник - кре..."" - Вроде было уже. И зачем ему это все время? Но раз заказывает..."
positive,"утром не хотел вылезать из-под одеяла, потом всё же пошёл за кофе и телевизор в ларьке моргал как будто тоже сонный. street весь мокрый, почками пахнет легко и тупо хорошо. живу, значит."
positive,"прибыл очередной кирдык с новостями… а я вот уже репощу и смеюсь… жизнь, конечно, театр погорелых спецэффектов…"
negative,"люди, которые утром влезают с вопросом «а чего такие злые» — надеюсь, у вас чай вчера сам себя остудил"
negative,"— ну конечно, на концерте опять один пустой ажиотаж. стояла в этой толпе и слушала не музыку, а чье-то хамство за спиной. могли бы уже научиться вести себя нормально, а не строить из себя звезд. настроение просто убили"
negative,"иногда откроешь старые эскизы... и будто не свои руки смотрят с бумаги. там было столько света, кажется... а теперь только где-то в углу квартиры шебуршат обиды и вокромная тихость. странн поддавлевает память."
negative,"Сколько можно втречaтьcя с людьми, которые обещают одно, а потом просто исчезают??? Уже достало честно...
Это вообще норма или только у меня один трэш?"
positive,"пусть весь день идёт что угодно, но с KINO на повторе мне уже реально хорошо"
neutral,"репостнул вот это чудо потому что в кухне утром включился режим ГТА, только целью был чайник. техника живёт отдельно от людей и явно нас периодически троллит. ЛОЛ ну да, спасибо, старый мир: ты первый ломайся у меня"
negative,Сейчас не хватает тех дней и тебя сестричка ( 2005 год
neutral,почему у старых песен из друновской ночи до сих пор такой запах будто всё было не зря?
neutral,продолжение следует :))
neutral,"Включил тот старый трек и сразу вернулась осень на Рубинштейна: мокрый асфальт, наушники в кармане, голоса где-то вдали. Смешно, как одна песня умеет достать из памяти целый вечер."
