text,label,topic,intent,emotion,style,structure,archetype,capslock,emoji_usage,typos,profanity,punctuation,prompt_type
"репостнул и поржал... ну да, жизнь снова без вариантов, спасибо, клоуны!!",negative,short_reaction,joke,aggressive,internet_slang,very_short,repost_with_commentary,none,none,clean,light,repeated_exclamations,latent_config
"Я долго делала вид, что мне все равно... А теперь сижу и понимаю — меня очень больно отпустили. Самое обидное, что любила по-настоящему, а вышло как всегда!!!",negative,relationships,confession,melancholic,normal_conversational,multi_sentence,capslock_emotional_breakdown,none,none,clean,none,repeated_exclamations,latent_config
"Опять этот хейт из ниоткуда, будто людям заняться нечем кроме как лезть в чужую жизнь и разносить всё по кускам. Устал уже от этой мерзкой токсичности, реально хочется выключить весь этот поток тупости.",negative,toxicity,complaint,aggressive,messy_emotional,long_paragraph,edgy_teen_post,none,none,clean,none,normal,latent_config
"Заела эта песня уже с утра, и почему-то только от нее еще хуже настроение. Думал отпустит — неа, сидишь как дурак, слушаешь бит по кругу и тупо пялишься в окно. Какая-то странная пустота сегодня.",negative,discussion,reflection,negative,old_vk_wall_post,multi_sentence,music_obsession_post,light,none,light_typos,none,normal,latent_config
"не выдержал и показал ему всё, что держал внутри. смешно. столько лет рядом, а толку как будто не было. пахнет поздней ночью, голова пустая, а внутри только это тупое чувство — зачем я вообще надеялся",negative,relationships,confession,dramatic,late_night_post,fragmented_stream,drunk_existential_post,none,none,clean,none,normal,latent_config
"устал слушать эту вечную болтовню про смысл и свет внутри, когда вокруг один цирк. чем дольше смотришь на людей, тем сильнее кажется, что их философия - просто красивая обертка для равнодушия. пустота как будто уже стала нормой.",negative,philosophical,reflection,aggressive,music_status_core,long_paragraph,capslock_emotional_breakdown,none,none,clean,none,normal,latent_config
"Люди любят говорить о смысле жизни, пока не приходится хоть что-то менять — вот поэтому и пришлось себе это сохранить.",negative,philosophical,reflection,aggressive,music_status_core,single_sentence,repost_with_commentary,none,none,clean,none,normal,latent_config
да блин… опять а это кому вообще надо… уже жайэта вс подзадолало,negative,short_reaction,reaction,aggressive,shitpost,single_sentence,capslock_emotional_breakdown,none,none,light_typos,none,ellipsis_heavy,latent_config
"Ох блять, ну и лайф️ Смешно, когда меня даже флиртить пытаются крысиным тоном. Ты реально думаешь, что это мило? Пошёл нахуй, сюсюкать не с кем тут 😒",negative,toxicity,reaction,aggressive,internet_slang,multi_sentence,horny_flirty_post,none,light,clean,heavy,normal,latent_config
"ну и токсики вокруг... сил уже нет, весь вечер будто в гное, реально выбесили!!!",negative,toxicity,reaction,aggressive,internet_slang,very_short,sad_night_post,none,none,clean,none,repeated_exclamations,latent_config
"Ахах, нашел этот «юмор» и жёстко припизднулся 🙄 комменты огонь, а сам автор будто с похмелья писал. Флиртишь ты так же криво, как шутишь — ну почти оч приятно бесить фа**уй...",negative,humor,reaction,mixed,internet_slang,long_paragraph,horny_flirty_post,none,light,clean,heavy,normal,latent_config
"Сколько можно уже это мусолить? Одни и те же люди сделали вид, что всё нормально, а потом удивляются почему такое отношение. Если ничего не понимаете в теме, то хоть не пишите очередной бред ради комментов.",negative,discussion,discussion,aggressive,old_vk_wall_post,multi_sentence,aggressive_comment_war,none,none,clean,none,normal,latent_config
